Name;Date;Symbole;Value;Amount;ValueTotal;TradeCost;TradeCategory
Maple Leaf 2018;25.01.2019;SI=F;15,80 €;25;395,00 €;0,00 €;BUY
Maple Leaf 2019;25.01.2019;SI=F;15,80 €;50;790,00 €;0,00 €;BUY
Kangoroo 2019;21.03.2019;SI=F;16,74 €;50;837,00 €;0,00 €;BUY
Krügerrand 2018;25.01.2019;GC=F;1.170,00 €;2;2.340,00 €;0,00 €;BUY
Krügerrand 2019;21.03.2019;GC=F;1.230,00 €;1;1.230,00 €;0,00 €;BUY
Maple Leaf 2018;21.03.2019;GC=F;1.200,00 €;2;2.400,00 €;0,00 €;BUY
Maple Leaf 2019;21.03.2019;GC=F;1.220,00 €;1;1.220,00 €;0,00 €;BUY
ALBA SE O.N.;27.12.2019;ABA.F;60,63 €;5;303,14 €;5,64 €;BUY
NVIDIA CORP. DL-,001;04.03.2020;NVD.F;250,54 €;2;501,07 €;6,28 €;BUY
DAIMLER AG NA O.N.;04.03.2020;DAI.F;37,97 €;10;379,66 €;5,94 €;BUY
NVIDIA CORP. DL-,001;09.03.2020;NVD.F;220,10 €;4;880,38 €;7,32 €;BUY
DAIMLER AG NA O.N.;10.03.2020;DAI.F;30,57 €;9;275,11 €;5,66 €;BUY
DAIMLER AG NA O.N.;23.03.2020;DAI.F;21,46 €;19;407,81 €;5,95 €;SELL
NVIDIA CORP. DL-,001;25.03.2020;NVD.F;229,51 €;6;1.377,04 €;8,38 €;SELL
FREEPORT-MCMORAN INC.;14.04.2020;FPMB.F;7,64 €;100;764,19 €;6,79 €;BUY
ESSITY AB B;14.04.2020;ESWB.F;26,78 €;30;803,39 €;6,89 €;BUY
ROYAL DUTCH SHELL A EO-07;20.04.2020;R6C.F;15,68 €;50;783,84 €;6,84 €;BUY
AIRBUS;22.04.2020;AIR.F;53,87 €;15;808,05 €;6,90 €;BUY
TYSON FOODS INC A DL-,10;24.04.2020;TF7A.F;57,32 €;10;573,22 €;6,32 €;BUY
ANHEUSER-BUSCH INBEV;27.04.2020;1NBA.F;39,29 €;20;785,75 €;6,85 €;BUY
FROSTA AG AKT. O.N.;23.08.2019;NLM.F;55,86 €;4;223,45 €;5,45 €;BUY
COLGATE-PALMOLIVE DL 1;09.08.2019;CPA.F;66,28 €;2;132,56 €;5,22 €;BUY
AIRBUS;09.06.2020;AIR.F;74,14 €;15;1.112,10 €;0,00 €;SELL
ANHEUSER-BUSCH INBEV;12.06.2020;1NBA.F;;;7,00 €;;INTEREST
COLGATE-PALMOLIVE DL 1;20.05.2020;CPA.F;;;0,68 €;;INTEREST
COLGATE-PALMOLIVE DL 1;20.11.2019;CPA.F;;;0,58 €;;INTEREST
COLGATE-PALMOLIVE DL 1;19.02.2020;CPA.F;;;0,67 €;;INTEREST
