;Wertpapiername;Typ;Wert
;Gold;Kauf;-4.880,00
;Silber;Kauf;-770
;Silber;Kauf;-395
;Gold;Kauf;-2.340,00
;Silber;Kauf;-837
;Colgate-Palmolive Co.;Kauf;-132,56
;FRoSTA AG;Kauf;-223,45
;ALBA SE;Kauf;-303,14
d;Colgate-Palmolive Co.;Dividende;0,67
x;Daimler;Kauf;-385,6
x;NVIDIA Corp.;Kauf;-507,35
x;NVIDIA Corp.;Kauf;-887,7
x;Daimler;Kauf;-280,77
x;Daimler;Verkauf;413,76
x;NVIDIA Corp.;Verkauf;1.385,42
;Essity AB Registered Shs -B-;Kauf;-803,39
x;Freeport-McMoRan Inc;Kauf;-764,19
;Shell (Royal Dutch Shell) (A);Kauf;-783,84
x;Airbus SE (ex EADS);Kauf;-808,05
;Tyson Foods Inc.;Kauf;-573,22
;Anheuser-Busch InBev;Kauf;-785,75
x;Bitcoin (USD);Kauf;-2.008,95
;Bitcoin (USD);Kauf;-1.826,32
d;Colgate-Palmolive Co.;Dividende;0,68
x;Airbus SE (ex EADS);Verkauf;1.112,05
d;Anheuser-Busch InBev;Dividende;7
d;Tyson Foods Inc.;Dividende;3,17
x;Wirecard;Kauf;-789,86
x;Wirecard;Verkauf;575,97
d;Shell (Royal Dutch Shell) (A);Dividende;6,03
d;ALBA SE;Dividende;16,25
;Gold;Kauf;-1.719,00
;Gold;Kauf;-1.690,00
d;FRoSTA AG;Dividende;6,4
;Volkswagen VZ;Kauf;-1.047,66
d;Colgate-Palmolive Co.;Dividende;0,63
;Nestle SA (Nestle);Kauf;-1.032,42
;Coca-Cola Co.;Kauf;-1.032,46
;Diamondback Energy Inc;Kauf;-830,47
;Roche Holding AG (Inhaberaktie);Kauf;-931,25
;Amundi MSCI World UCITS ETF - EUR thesaurierend;Kauf;-50
d;Tyson Foods Inc.;Dividende;3
;Deutsche Grundstücksauktionen Aktie;Kauf;-711,66
;AT&T Inc.;Kauf;-496,13
d;Shell (Royal Dutch Shell) (A);Dividende;5,75
;Shell (Royal Dutch Shell) (A);Kauf;-547,65
;Amundi MSCI Em Asia UCITS ETF EUR thesaurierend;Kauf;-50
d;Coca-Cola Co.;Dividende;7,4
d;Volkswagen VZ;Dividende;38,88
;Amundi MSCI World UCITS ETF - EUR thesaurierend;Kauf;-50
;AIS-AM.SMRT FCTY UETFEOUA;Kauf;-550
x;XRP (USD);Kauf;-509,86
;Alibaba;Kauf;-785,35
;Tencent Holdings Ltd;Kauf;-620,44
;BYD;Kauf;-603,79
;Just Eat Takeaway.com N.V.;Kauf;-895,42
;Global Online Retail Fonds;Kauf;-1.032,54
;Amundi MSCI Em Asia UCITS ETF EUR thesaurierend;Kauf;-50
d;AT&T Inc.;Dividende;7,53
d;Essity AB Registered Shs -B-;Dividende;12,65
;Amundi MSCI Em Asia UCITS ETF EUR thesaurierend;Kauf;-883,09
;Gold;Kauf;-1.715,00
;Planet Fitness;Kauf;-801,84
;Amundi MSCI World UCITS ETF - EUR thesaurierend;Kauf;-50
;AIS-AM.SMRT FCTY UETFEOUA;Kauf;-50
;Tencent Holdings Ltd;Kauf;-780,84
d;Colgate-Palmolive Co.;Dividende;0,63
d;Diamondback Energy Inc;Dividende;6,68
;Amundi MSCI Em Asia UCITS ETF EUR thesaurierend;Kauf;-50
;Omega Healthcare;Kauf;-1.223,74
;Silber;Kauf;-1.180,00
;Palantir;Kauf;-1.027,45
;Xiaomi;Kauf;-863,42
;Amundi MSCI World UCITS ETF - EUR thesaurierend;Kauf;-50
;AIS-AM.SMRT FCTY UETFEOUA;Kauf;-50
d;Coca-Cola Co.;Dividende;7,1
d;Tyson Foods Inc.;Dividende;3,11
d;Shell (Royal Dutch Shell) (A);Dividende;11,78
x;XRP (USD);Kauf;-21,26
;Ballard Power Systems Inc.;Kauf;-524,6
x;XRP (USD);Verkauf;630,33
;Pan American Silver Corp.;Kauf;-828,96
;Amundi MSCI Em Asia UCITS ETF EUR thesaurierend;Kauf;-50
;Ethereum;Kauf;-575,88
x;Bitcoin (USD);Verkauf;7.217,75
;iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc);Kauf;-997,17
;Apple Inc.;Kauf;-1.628,95
;Coca-Cola Co.;Kauf;-1.682,88
;Amundi MSCI World UCITS ETF - EUR thesaurierend;Kauf;-50
;AIS-AM.SMRT FCTY UETFEOUA;Kauf;-50
x;Freeport-McMoRan Inc;Verkauf;2.220,33
;3M Co.;Kauf;-987,35
;iShares Asia Property Yield UCITS ETF USD (Acc);Kauf;-900,03
;Microsoft Corp.;Kauf;-947,25
;Amundi MSCI Em Asia UCITS ETF EUR thesaurierend;Kauf;-50
