Symbole;Name;ISIN
MMM.F;3M Co.;US88579Y1010
ABJA.F;ABB (Asea Brown Boveri);CH0012221716
AIR.F;Airbus SE (ex EADS);NL0000235190
ABA.F;ALBA SE;DE0006209901
AQN;Algonquin Power & Utilities Corp;CA0158571053
AHLA.F;Alibaba;US01609W1027
ABEA.F;Alphabet A (ex Google);US02079K3059
AMZ.F;Amazon;US0231351067
AWC.F;American Water Works Co Inc;US0304201033
1NBA.F;Anheuser-Busch InBev;BE0974293251
APC.F;Apple Inc.;US0378331005
SOBA.F;AT&T Inc. (AT & T Inc.);US00206R1023
59A.F;Atlassian;GB00BZ09BD16
ABR.F;Barrick Gold Corp.;CA0679011084
BEI.F;Beiersdorf AG;DE0005200000
PCE1.F;Booking Holdings Inc Registered Shs;US09857L1089
BRM.F;Bristol-Myers Squibb Co.;US1101221083
CXU.F;Church & Dwight Co. Inc.;US1713401024
CTX.F;Citrix Systems Inc.;US1773761002
CCC3.F;Coca-Cola Co.;US1912161007
CPA.F;Colgate-Palmolive Co.;US1941621039
GUI.F;Diageo plc;GB0002374006
7DB.F;Diamondback Energy Inc;US25278X1090
HNL.F;Dr. Hönle AG - UV Technology;DE0005157101
ESWB.F;Essity AB Registered Shs -B-;SE0009922164
FUC.F;FANUC CORPORATION;JP3802400006
FPMB.F;Freeport-McMoRan Inc;US35671D8570
NLM.F;FRoSTA AG;DE0006069008
WWG.F;GELSENWASSER AG;DE0007760001
HEI.F;HeidelbergCement AG;DE0006047004
HNK1.F;Heineken;NL0000009165
H9I.F;ICA Gruppen AB;SE0000652216
IUI1.F;Intuitive Surgical Inc;US46120E6023
L0CK.F;iShares Digital Security UCITS ETF USD Acc;IE00BG0J4C88
2B78.F;iShares Healthcare Innovation UCITS ETF USD (Acc);IE00BYZK4776
IQQW.F;iShares MSCI World UCITS ETF USD (Dist);IE00B0M62Q58
013A.F;JD.com Inc (spons. ADRs);US47215P1066
JNJ.F;Johnson & Johnson;US4781601046
KU2.F;KUKA AG;DE0006204407
LTEC.F;Logitech S.A.;CH0025751329
M4i.F;MasterCard Inc.;US57636Q1040
MSF.F;Microsoft Corp.;US5949181045
NESM.F;Nestlé SA (Nestle);CH0038863350
FP3.F;NextEra Energy Inc;US65339F1012
NTH.F;Northrop Grumman Corp.;US6668071029
NOTA.F;Novartis AG;CH0012005267
NOVC.F;Novo Nordisk;DK0060534915
NVD.F;NVIDIA Corp.;US67066G1040
PER.F;Pernod Ricard S.A.;FR0000120693
PFE.F;Pfizer Inc.;US7170811035
PRG.F;Procter & Gamble Co.;US7427181091
RHO6.F;Roche Holding AG (Inhaberaktie);CH0012032113
RY4C.F;Ryanair;IE00BYTBXV33
SAP.F;SAP SE;DE0007164600
YSN.F;secunet Security Networks AG;DE0007276503
4S0.F;ServiceNow Inc;US81762P1021
R6C.F;Shell (Royal Dutch Shell) (A);GB00B03MLX29
AWM.F;Skyworks Solutions Inc.;US83088M1027
NNND.F;Tencent Holdings Ltd;KYG875721634
TL0.F;Tesla;US88160R1014
TF7A.F;Tyson Foods Inc.;US9024941034
UNVB.F;Unilever plc;GB00B10RZP78
3V64.F;Visa Inc.;US92826C8394
WDP.F;Walt Disney;US2546871060
1WF.F;Wayfair Inc (A);US94419L1017
